subject_id,fmri_r01,fmri_r02,fmri_r03,fmri_r04,fmri_r05,fmri_r06,fmri_r07,fmri_r08,fmri_r09,fmri_r10,fmri_r11,fmri_r12,eeg_total_r01,eeg_total_r02,eeg_total_r03,eeg_total_r04,eeg_total_r05,eeg_total_r06,eeg_total_r07,eeg_total_r08,eeg_total_r09,eeg_total_r10,eeg_total_r11,eeg_total_r12,theta_r01,theta_r02,theta_r03,theta_r04,theta_r05,theta_r06,theta_r07,theta_r08,theta_r09,theta_r10,theta_r11,theta_r12,alpha_r01,alpha_r02,alpha_r03,alpha_r04,alpha_r05,alpha_r06,alpha_r07,alpha_r08,alpha_r09,alpha_r10,alpha_r11,alpha_r12,beta_r01,beta_r02,beta_r03,beta_r04,beta_r05,beta_r06,beta_r07,beta_r08,beta_r09,beta_r10,beta_r11,beta_r12,gamma_r01,gamma_r02,gamma_r03,gamma_r04,gamma_r05,gamma_r06,gamma_r07,gamma_r08,gamma_r09,gamma_r10,gamma_r11,gamma_r12,centroid_r01,centroid_r02,centroid_r03,centroid_r04,centroid_r05,centroid_r06,centroid_r07,centroid_r08,centroid_r09,centroid_r10,centroid_r11,centroid_r12
010002,0.10592802613973618,0.04940556734800339,0.06014253944158554,0.5986927151679993,0.25417035818099976,0.055913329124450684,0.18478338420391083,0.03392164036631584,0.055620741099119186,0.042189694941043854,0.10577366501092911,0.08273959159851074,20.416906356811523,20.45620346069336,18.093448638916016,3.689984083175659,3.8321783542633057,7.505496025085449,4.310070991516113,6.347117900848389,7.267908573150635,6.119923114776611,6.213790416717529,4.053342819213867,3.8513588905334473,2.0896694660186768,3.4290997982025146,0.5018737316131592,0.5003842115402222,1.2264792919158936,0.5510250329971313,0.8552858233451843,0.9744438529014587,0.9163603782653809,0.7928565144538879,0.5426796674728394,2.04028058052063,1.4779688119888306,1.7743000984191895,0.3507620096206665,0.3935142457485199,0.786740243434906,0.4157581925392151,0.6361416578292847,0.7299045324325562,0.6339396238327026,0.6305017471313477,0.3970310091972351,5.432687282562256,6.113729953765869,4.635727882385254,1.2032060623168945,1.3725707530975342,2.533463478088379,1.585909366607666,2.351940631866455,2.7552008628845215,2.068169116973877,2.340059757232666,1.4370429515838623,2.1534180641174316,3.029911994934082,1.8459340333938599,0.40570542216300964,0.45461317896842957,1.1259338855743408,0.724861741065979,1.12802255153656,1.3082083463668823,0.814131498336792,0.9448147416114807,0.5280250906944275,11.988832473754883,13.679436683654785,11.670048713684082,12.972224235534668,13.889806747436523,14.913298606872559,15.957862854003906,16.422822952270508,16.669652938842773,14.180343627929688,15.508098602294922,14.285284042358398
010003,0.09382826089859009,0.08887934684753418,0.03353457152843475,0.511444091796875,0.24778753519058228,0.04131539911031723,0.3113507032394409,0.0462193600833416,0.06620979309082031,0.0657249465584755,0.17369882762432098,0.09192628413438797,41.38190841674805,49.000877380371094,42.17372512817383,7.698772430419922,7.9111809730529785,12.40095043182373,4.402453422546387,13.228449821472168,5.46946382522583,12.079292297363281,7.1638617515563965,4.554867267608643,10.09054946899414,15.394880294799805,10.649144172668457,2.4750282764434814,2.474442481994629,3.2801477909088135,1.2756338119506836,3.6481919288635254,1.4390885829925537,3.421100616455078,2.153536081314087,1.2814538478851318,3.990506410598755,7.550649642944336,4.718357563018799,1.2588554620742798,1.2617530822753906,1.6388647556304932,0.6879318952560425,1.8199334144592285,0.7421644330024719,1.718648076057434,1.2087733745574951,0.6958186030387878,5.307506561279297,9.235275268554688,7.642760753631592,1.4636064767837524,1.4054028987884521,2.683143138885498,0.9581576585769653,2.7828738689422607,1.0453262329101562,2.35298752784729,1.6377812623977661,0.8693199157714844,0.25689762830734253,0.38284382224082947,1.1585363149642944,0.055294789373874664,0.05128270015120506,0.3313469886779785,0.044821906834840775,0.22998806834220886,0.04963407292962074,0.11032623052597046,0.07415908575057983,0.034797754138708115,5.888214111328125,7.641876697540283,7.789116859436035,7.728668689727783,7.418244361877441,8.541287422180176,8.147814750671387,8.149752616882324,7.398824691772461,7.603821754455566,8.463661193847656,7.506617546081543
010004,0.1001470759510994,0.06343749165534973,0.054593075066804886,0.6960502862930298,0.34383442997932434,0.052928946912288666,0.2327774614095688,0.04321938380599022,0.04378361254930496,0.07051338255405426,0.15058599412441254,0.12629620730876923,19.53438949584961,15.915739059448242,16.33113670349121,2.676547050476074,2.3246493339538574,5.671722888946533,2.020781993865967,4.317424297332764,4.670222759246826,3.834059715270996,3.170596122741699,2.509567975997925,4.587857246398926,3.8152072429656982,3.7626683712005615,0.7164837718009949,0.6009279489517212,1.3860889673233032,0.46692362427711487,1.013797640800476,0.933462381362915,0.8970996737480164,0.5927706956863403,0.6039463877677917,2.157884359359741,2.3354177474975586,1.7604562044143677,0.4560580849647522,0.36325210332870483,0.7645434141159058,0.2847934365272522,0.5947785973548889,0.5650613903999329,0.5481840968132019,0.41449224948883057,0.362086683511734,3.8352997303009033,4.288271903991699,3.3615455627441406,0.7493611574172974,0.6201478838920593,1.5147441625595093,0.5608761310577393,1.2430332899093628,1.3868038654327393,1.0755398273468018,1.0510135889053345,0.619086503982544,0.7171155214309692,0.7194135785102844,0.8033930659294128,0.03955249488353729,0.06243691220879555,0.32449671626091003,0.10719895362854004,0.2917630970478058,0.46980783343315125,0.19634687900543213,0.31084144115448,0.06650564819574356,8.322644233703613,10.14745044708252,8.949225425720215,9.395931243896484,9.528375625610352,10.5554780960083,10.53773021697998,11.298910140991211,12.502603530883789,10.54202938079834,13.003057479858398,9.011513710021973
010005,0.16934047639369965,0.08179185539484024,0.05369856581091881,0.8419135808944702,0.5994498133659363,0.07192867994308472,0.28366154432296753,0.03186476603150368,0.07973209768533707,0.09519100189208984,0.13769759237766266,0.14229589700698853,60.25675582885742,59.53818130493164,28.59739112854004,12.033982276916504,6.7437520027160645,31.825105667114258,8.846457481384277,19.333797454833984,18.515216827392578,12.775092124938965,9.550965309143066,11.778706550598145,13.935158729553223,14.200895309448242,7.012592315673828,2.9021177291870117,1.7916053533554077,7.170701026916504,2.070295810699463,4.666193008422852,4.569924354553223,3.381464958190918,2.6373679637908936,2.6349904537200928,5.184114933013916,5.747931480407715,3.0357608795166016,1.3196003437042236,0.9043757319450378,2.551938772201538,0.8650257587432861,1.8233792781829834,1.866977334022522,1.5683820247650146,1.1577070951461792,0.9890469908714294,6.9257612228393555,7.37293815612793,4.965184688568115,1.866918921470642,1.2978609800338745,3.2976503372192383,1.2019577026367188,2.459737777709961,2.580118179321289,2.2384490966796875,1.5583477020263672,1.2466139793395996,0.33829665184020996,0.31976184248924255,0.7545057535171509,0.08440741896629333,0.057728663086891174,0.15726850926876068,0.05714074894785881,0.11824154108762741,0.1239166110754013,0.10640745609998703,0.06922745704650879,0.053227026015520096,5.517858505249023,5.760332107543945,7.547693729400635,6.4528374671936035,7.4119391441345215,5.2325286865234375,5.998195171356201,5.849355697631836,6.150481224060059,7.045233726501465,6.8414835929870605,5.277904033660889
010006,0.09687268733978271,0.1021210327744484,0.04778096824884415,0.5801921486854553,0.3863782584667206,0.06245714798569679,0.22121863067150116,0.06031694635748863,0.06799166649580002,0.08159701526165009,0.1708267331123352,0.13018503785133362,13.280418395996094,15.695101737976074,11.760396957397461,2.050879955291748,1.8872510194778442,4.676785945892334,2.7825310230255127,3.6502060890197754,3.827979564666748,3.737948179244995,3.0680291652679443,2.556036949157715,2.9338088035583496,2.7747721672058105,2.397456407546997,0.4322061836719513,0.3831481337547302,0.7012874484062195,0.5169229507446289,0.596198558807373,0.6513452529907227,0.7470337152481079,0.5434775352478027,0.5331506729125977,1.4555209875106812,1.6721444129943848,1.2316538095474243,0.2609707713127136,0.229269877076149,0.46223318576812744,0.3183569014072418,0.34818902611732483,0.392068088054657,0.4560226500034332,0.33422476053237915,0.32353073358535767,3.08254075050354,4.454342842102051,3.0396134853363037,0.5422344207763672,0.4851512610912323,1.5634539127349854,0.80434650182724,1.007433533668518,1.1117300987243652,1.0861326456069946,0.847923994064331,0.7342380285263062,0.8899357914924622,1.7418256998062134,1.1670618057250977,0.09365329891443253,0.09806646406650543,0.769183337688446,0.2607896625995636,0.42481595277786255,0.4490724802017212,0.3195681869983673,0.2744179368019104,0.19025181233882904,10.080686569213867,12.493688583374023,11.705958366394043,9.863905906677246,9.91168212890625,15.3198823928833,11.996195793151855,12.440139770507812,12.807246208190918,11.806018829345703,11.532485008239746,11.392157554626465
010007,0.06130129471421242,0.04739690199494362,0.038793690502643585,0.35142821073532104,0.17414642870426178,0.051183342933654785,0.13807684183120728,0.03894592821598053,0.04227374866604805,0.06908196955919266,0.08583922684192657,0.07835964113473892,8.84105110168457,7.450419902801514,10.196128845214844,1.5434331893920898,1.5570954084396362,3.459343671798706,1.5895564556121826,3.328474283218384,2.9617044925689697,2.8933682441711426,2.060356616973877,1.6827889680862427,2.012017250061035,1.4422334432601929,2.0905587673187256,0.3074767291545868,0.3249801695346832,0.6424001455307007,0.2521102726459503,0.5390207767486572,0.5663811564445496,0.5455195307731628,0.37410226464271545,0.3500191867351532,0.9107345342636108,0.7721936106681824,1.0637298822402954,0.17208170890808105,0.183390274643898,0.3729381561279297,0.16725778579711914,0.33394864201545715,0.31744125485420227,0.30602869391441345,0.23233608901500702,0.18705518543720245,1.758962631225586,1.7034434080123901,2.6000654697418213,0.4171240031719208,0.4287046790122986,1.0466926097869873,0.5281654000282288,1.0519136190414429,0.8381744623184204,0.7931597232818604,0.6378945112228394,0.43521782755851746,0.438451886177063,0.4381096363067627,0.9791855216026306,0.10504081845283508,0.1072760820388794,0.4276104271411896,0.22122953832149506,0.47074514627456665,0.30658218264579773,0.2646479606628418,0.21247214078903198,0.11167170107364655,8.80825138092041,9.522832870483398,11.522422790527344,10.717244148254395,10.914071083068848,13.373785018920898,14.36919116973877,14.157258033752441,12.264772415161133,11.613256454467773,12.703930854797363,10.485443115234375
010010,0.14404697716236115,0.05768901854753494,0.07150433212518692,0.5043123364448547,0.37260326743125916,0.05654297396540642,0.3365810513496399,0.05443556234240532,0.05678517743945122,0.13492020964622498,0.22969810664653778,0.11473565548658371,15.200989723205566,15.154576301574707,18.006332397460938,3.4047210216522217,2.1917903423309326,7.388479232788086,2.565004348754883,5.16786527633667,4.0427045822143555,5.126874923706055,4.251656532287598,2.7545597553253174,3.5042176246643066,3.6471550464630127,3.916700839996338,0.7620973587036133,0.5264277458190918,1.6836984157562256,0.5817632675170898,1.127300500869751,0.8998114466667175,1.15595543384552,0.9397541880607605,0.5698432326316833,1.3256906270980835,2.1404690742492676,1.5539216995239258,0.34506216645240784,0.26130297780036926,0.809359073638916,0.29111918807029724,0.5503736138343811,0.453567236661911,0.5517703890800476,0.48600977659225464,0.2923644781112671,1.8378196954727173,3.6009531021118164,2.601586103439331,0.5562697052955627,0.4472046494483948,1.5023876428604126,0.548194944858551,1.071155309677124,0.8840801119804382,0.964011549949646,0.8959556221961975,0.5627378821372986,0.11226610839366913,0.29575976729393005,0.4995160400867462,0.05987388640642166,0.05649762973189354,0.3026640713214874,0.10451888293027878,0.2438652515411377,0.17822213470935822,0.1563805341720581,0.14666561782360077,0.09395080804824829,5.69386625289917,8.550890922546387,6.843031406402588,6.884922504425049,8.10612678527832,8.57669448852539,8.7684907913208,8.826916694641113,8.960378646850586,7.870532989501953,8.449581146240234,8.206794738769531
010012,0.12104188650846481,0.07036738097667694,0.05621930584311485,0.4074327051639557,0.5027371048927307,0.05452506244182587,0.20738652348518372,0.03185435011982918,0.030494268983602524,0.054217658936977386,0.10294391959905624,0.09778744727373123,15.741122245788574,11.122638702392578,13.704815864562988,2.8087174892425537,2.881870746612549,6.894023418426514,2.6824967861175537,6.571784496307373,5.766497611999512,5.110025405883789,3.6691365242004395,2.5984303951263428,3.262981653213501,1.887047529220581,2.700324535369873,0.45707082748413086,0.4763154983520508,1.2881863117218018,0.4256479740142822,1.2167474031448364,0.9917536973953247,0.8836615085601807,0.5333867073059082,0.4210672974586487,1.4715951681137085,1.2356783151626587,1.2105647325515747,0.3236112594604492,0.36471647024154663,0.7140400409698486,0.28292590379714966,0.7082651257514954,0.5622976422309875,0.6019216775894165,0.37260520458221436,0.26545974612236023,2.9964253902435303,3.1513564586639404,2.670027494430542,0.8953665494918823,1.040546178817749,1.8413901329040527,0.8207159042358398,1.8572626113891602,1.47395920753479,1.6755706071853638,1.1360504627227783,0.7169554233551025,0.7691642045974731,0.667538583278656,0.8698450326919556,0.17469878494739532,0.18900485336780548,0.6297490000724792,0.24494828283786774,0.6072165369987488,0.4590376913547516,0.4604949653148651,0.3341185450553894,0.14619576930999756,8.47603702545166,10.464241981506348,9.051176071166992,11.183589935302734,12.14084243774414,11.457253456115723,12.020730972290039,11.788474082946777,10.687514305114746,12.498915672302246,11.995227813720703,10.120233535766602
010016,0.12387591600418091,0.054096467792987823,0.05762052908539772,0.47334378957748413,0.2979055643081665,0.06883135437965393,0.21637755632400513,0.03903840109705925,0.06043579429388046,0.06631918251514435,0.16242258250713348,0.10211964696645737,7.648805618286133,12.859971046447754,4.547952651977539,2.659224271774292,1.4227566719055176,12.987239837646484,2.152352809906006,6.866683006286621,4.722780227661133,3.736985445022583,2.6189544200897217,3.130753993988037,1.657905101776123,2.444579601287842,0.9095229506492615,0.5755692720413208,0.30653172731399536,2.718135118484497,0.4485057592391968,1.4435653686523438,0.9941811561584473,0.7320509552955627,0.49512824416160583,0.6307937502861023,0.6709815859794617,1.7275023460388184,0.4996468126773834,0.2529202997684479,0.12096460908651352,1.447647213935852,0.24497024714946747,0.7563551068305969,0.464484840631485,0.3342036008834839,0.2726242244243622,0.34224581718444824,1.1052199602127075,3.837280511856079,1.2530004978179932,0.4408217966556549,0.23930710554122925,3.145826578140259,0.5119165778160095,1.5751516819000244,0.894773006439209,0.6784414052963257,0.583098292350769,0.6943290829658508,0.1504753679037094,0.4655405282974243,0.44244322180747986,0.02370394580066204,0.039887912571430206,0.7699354887008667,0.07932258397340775,0.3224211037158966,0.14823086559772491,0.13270196318626404,0.08195988088846207,0.0662933811545372,6.5268168449401855,9.977210998535156,11.933959007263184,6.512124061584473,7.26520299911499,9.89834213256836,8.942611694335938,9.182609558105469,7.805785179138184,7.709624290466309,8.30383586883545,7.975855827331543
010017,0.1824110597372055,0.06581029295921326,0.09748463332653046,0.6081217527389526,0.2639417052268982,0.06120111048221588,0.32094964385032654,0.06288803368806839,0.05573253706097603,0.11231695115566254,0.20257450640201569,0.11867819726467133,7.984313488006592,12.6949462890625,14.477858543395996,2.5460498332977295,2.4277491569519043,10.885513305664062,2.5398621559143066,8.01524543762207,5.708030700683594,4.9644927978515625,4.574857234954834,3.043846845626831,1.6514687538146973,2.6904420852661133,3.1319258213043213,0.5223824381828308,0.5133165717124939,2.349649667739868,0.5346930027008057,1.7288832664489746,1.21708083152771,1.0831094980239868,0.9992478489875793,0.6231430768966675,0.5318083167076111,1.167914867401123,1.13948392868042,0.2055630087852478,0.2348042130470276,0.8825812935829163,0.2277013063430786,0.6793357133865356,0.44802162051200867,0.4491633474826813,0.4132997691631317,0.23053927719593048,0.6618916392326355,1.8868145942687988,1.6373525857925415,0.32391270995140076,0.37590277194976807,1.3172014951705933,0.38068172335624695,1.0833226442337036,0.6673333048820496,0.7154632210731506,0.6687085628509521,0.3513154685497284,0.03135847672820091,0.17832471430301666,0.17090469598770142,0.0308501198887825,0.03329752758145332,0.13421711325645447,0.04678913950920105,0.14818747341632843,0.06667093932628632,0.07915195822715759,0.07973737269639969,0.029051100835204124,4.661308765411377,6.377476692199707,5.6148881912231445,5.843006134033203,6.499950885772705,5.786510944366455,6.557022571563721,6.298112869262695,5.666126251220703,6.401911735534668,6.501170635223389,5.503467082977295
